id_lokasi,dmgratio_cr_mmi500,dmgratio_mcf_mmi500,dmgratio_mur_mmi500,dmgratio_lightwood_mmi500,dmgratio_cr_mmi250,dmgratio_mcf_mmi250,dmgratio_mur_mmi250,dmgratio_lightwood_mmi250,dmgratio_cr_mmi100,dmgratio_mcf_mmi100,dmgratio_mur_mmi100,dmgratio_lightwood_mmi100
2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.43526517380400376,1.0,1.0,1.0,0.8108372556853655,1.0
3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.43850728041635717,1.0,1.0,1.0,0.8095161651739482,1.0
4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6015048521318325,1.0,1.0,1.0,0.9276146747107468,1.0
5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6153706268466381,1.0,1.0,1.0,0.9327096700881032,1.0
6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.490352644872848,1.0,1.0,1.0,0.8447655566405214,1.0
7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.645191123012046,1.0,1.0,1.0,0.9474488199098611,1.0
8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6495334264242618,1.0,1.0,1.0,0.9457701960904709,1.0
9.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5260640652877979,1.0,1.0,1.0,0.8601300870380209,1.0
10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6694038471115837,1.0,1.0,1.0,0.955702365990873,1.0
11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6742225441497942,1.0,1.0,1.0,0.95340758835976,1.0
12.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7075139470074913,1.0,1.0,1.0,0.9651387414105347,1.0
13.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6914374543654791,1.0,1.0,1.0,0.9571533685641967,1.0
14.0,1.0,1.0,0.0,1.0,1.0,1.0,0.55068955570499,1.0,1.0,1.0,0.8578069832486562,1.0
15.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6955310040550151,1.0,1.0,1.0,0.9566243555278887,1.0
16.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7250073264145214,1.0,1.0,1.0,0.9709656370217212,1.0
17.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7075903885107659,1.0,1.0,1.0,0.9610854635316857,1.0
18.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7007053066753606,1.0,1.0,1.0,0.9564862673564535,1.0
19.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7134569840472156,1.0,1.0,1.0,0.9645097159682784,1.0
